iter	Passed	Remaining
0	3	6657
1	7	7867
2	12	8432
3	17	8583
4	21	8659
5	26	8885
6	30	8611
7	34	8614
8	39	8719
9	43	8642
10	47	8625
11	51	8578
12	56	8600
13	61	8739
14	65	8707
15	71	8851
16	76	8900
17	80	8871
18	84	8769
19	89	8822
20	92	8723
21	96	8710
22	101	8698
23	106	8741
24	110	8720
25	115	8734
26	119	8739
27	124	8748
28	128	8737
29	133	8757
30	139	8862
31	143	8840
32	148	8841
33	152	8839
34	157	8838
35	161	8828
36	165	8784
37	171	8832
38	176	8893
39	181	8916
40	187	8956
41	191	8920
42	195	8907
43	199	8874
44	204	8865
45	208	8855
46	212	8849
47	218	8902
48	223	8890
49	227	8884
50	232	8891
51	237	8907
52	242	8899
53	245	8835
54	250	8867
55	255	8864
56	259	8851
57	264	8845
58	268	8848
59	273	8845
60	278	8841
61	282	8844
62	287	8841
63	290	8785
64	295	8796
65	299	8768
66	303	8767
67	308	8763
68	313	8774
69	318	8789
70	323	8782
71	327	8781
72	333	8796
73	337	8780
74	342	8780
75	346	8775
76	354	8846
77	358	8839
78	363	8828
79	367	8820
80	371	8807
81	376	8814
82	381	8819
83	386	8810
84	390	8801
85	395	8804
86	400	8798
87	404	8788
88	409	8788
89	414	8788
90	418	8783
91	423	8777
92	428	8788
93	433	8785
94	437	8782
95	442	8775
96	447	8772
97	451	8768
98	456	8761
99	461	8766
100	466	8763
101	470	8750
102	475	8757
103	480	8759
104	484	8750
105	489	8747
106	494	8748
107	498	8739
108	503	8733
109	508	8736
110	511	8701
111	515	8688
112	520	8687
113	525	8688
114	529	8684
115	534	8673
116	538	8667
117	543	8669
118	547	8656
119	552	8652
120	557	8656
121	561	8648
122	566	8640
123	570	8636
124	575	8636
125	578	8604
126	582	8595
127	588	8599
128	592	8595
129	596	8585
130	601	8577
131	606	8579
132	610	8572
133	615	8564
134	620	8568
135	624	8561
136	628	8553
137	633	8548
138	637	8538
139	642	8531
140	646	8522
141	651	8522
142	655	8518
143	660	8511
144	664	8504
145	669	8502
146	674	8497
147	678	8491
148	683	8487
149	688	8487
150	692	8476
151	696	8469
152	701	8467
153	705	8462
154	710	8457
155	715	8459
156	720	8461
157	725	8452
158	729	8449
159	734	8443
160	738	8438
161	744	8445
162	749	8446
163	754	8442
164	758	8432
165	762	8422
166	767	8422
167	771	8414
168	776	8408
169	781	8407
170	785	8402
171	790	8396
172	794	8388
173	799	8387
174	803	8380
175	807	8373
176	813	8377
177	817	8369
178	822	8364
179	827	8362
180	831	8358
181	836	8351
182	840	8341
183	844	8338
184	849	8334
185	853	8326
186	858	8320
187	863	8318
188	867	8311
189	871	8302
190	878	8317
191	883	8323
192	888	8316
193	893	8317
194	898	8314
195	902	8308
196	907	8302
197	912	8302
198	916	8293
199	921	8289
200	925	8283
201	930	8280
202	934	8273
203	938	8266
204	943	8264
205	948	8255
206	952	8249
207	957	8246
208	962	8244
209	966	8237
210	970	8231
211	975	8228
212	980	8223
213	984	8215
214	988	8209
215	993	8207
216	997	8199
217	1002	8193
218	1005	8180
219	1010	8175
220	1013	8156
221	1017	8147
222	1021	8143
223	1026	8139
224	1030	8132
225	1035	8131
226	1040	8129
227	1045	8124
228	1049	8117
229	1054	8113
230	1059	8111
231	1063	8103
232	1067	8098
233	1072	8095
234	1076	8088
235	1081	8083
236	1086	8079
237	1091	8077
238	1095	8071
239	1100	8066
240	1104	8064
241	1109	8058
242	1113	8052
243	1118	8047
244	1123	8044
245	1127	8037
246	1131	8029
247	1136	8028
248	1141	8024
249	1145	8017
250	1149	8013
251	1154	8009
252	1158	8002
253	1163	7996
254	1168	7995
255	1173	7991
256	1177	7986
257	1182	7983
258	1186	7978
259	1191	7974
260	1195	7968
261	1199	7957
262	1204	7953
263	1208	7945
264	1212	7939
265	1217	7935
266	1221	7929
267	1225	7922
268	1230	7915
269	1235	7916
270	1239	7910
271	1244	7905
272	1249	7902
273	1253	7896
274	1258	7891
275	1262	7886
276	1267	7883
277	1272	7880
278	1276	7874
279	1282	7876
280	1285	7866
281	1290	7862
282	1295	7857
283	1299	7852
284	1304	7848
285	1308	7841
286	1312	7834
287	1317	7830
288	1321	7824
289	1326	7820
290	1331	7817
291	1335	7810
292	1339	7803
293	1344	7801
294	1349	7798
295	1353	7790
296	1357	7784
297	1362	7782
298	1367	7777
299	1371	7773
300	1376	7771
301	1381	7769
302	1385	7761
303	1390	7757
304	1395	7756
305	1400	7750
306	1404	7743
307	1408	7737
308	1413	7734
309	1417	7729
310	1422	7723
311	1426	7718
312	1431	7714
313	1435	7707
314	1440	7705
315	1445	7703
316	1449	7697
317	1454	7692
318	1459	7690
319	1463	7684
320	1468	7680
321	1473	7680
322	1479	7679
323	1484	7678
324	1489	7674
325	1494	7671
326	1498	7665
327	1502	7658
328	1506	7653
329	1511	7647
330	1515	7641
331	1519	7635
332	1525	7635
333	1529	7631
334	1534	7625
335	1539	7623
336	1543	7618
337	1548	7613
338	1553	7610
339	1557	7606
340	1562	7600
341	1566	7595
342	1571	7592
343	1575	7585
344	1580	7580
345	1585	7577
346	1589	7573
347	1594	7567
348	1599	7565
349	1604	7562
350	1609	7560
351	1614	7558
352	1621	7563
353	1626	7561
354	1631	7559
355	1636	7558
356	1641	7556
357	1646	7553
358	1653	7557
359	1658	7554
360	1663	7552
361	1668	7551
362	1674	7549
363	1679	7546
364	1684	7546
365	1689	7544
366	1694	7537
367	1698	7531
368	1703	7528
369	1708	7525
370	1714	7527
371	1719	7523
372	1723	7518
373	1727	7511
374	1732	7508
375	1737	7502
376	1741	7497
377	1745	7491
378	1750	7488
379	1755	7482
380	1759	7475
381	1764	7471
