iter	Passed	Remaining
0	82	164684
1	151	151233
2	212	141123
3	286	142709
4	350	139355
5	425	140998
6	492	139929
7	567	140842
8	636	140387
9	698	138645
10	777	140202
11	848	140282
12	933	142287
13	988	139894
14	1062	140221
15	1138	140816
16	1205	140313
17	1281	140711
18	1333	138645
19	1401	138358
20	1501	141103
21	1564	140264
22	1629	139695
23	1682	138177
24	1743	137404
25	1805	136727
26	1875	136681
27	1950	136996
28	2020	136978
29	2080	136277
30	2143	135807
31	2206	135361
32	2269	134951
33	2340	135001
34	2408	134900
35	2470	134458
36	2531	133972
37	2593	133544
38	2663	133579
39	2720	132971
40	2781	132561
41	2850	132561
42	2916	132392
43	2986	132412
44	3047	132055
45	3104	131546
46	3175	131605
47	3236	131267
48	3305	131294
49	3370	131099
50	3430	130774
51	3491	130476
52	3553	130197
53	3623	130250
54	3685	130002
55	3758	130130
56	3820	129888
57	3884	129738
58	3944	129442
59	4014	129483
60	4088	129628
61	4149	129368
62	4210	129111
63	4280	129145
64	4340	128871
65	4406	128775
66	4469	128609
67	4530	128400
68	4590	128143
69	4659	128140
70	4729	128155
71	4802	128277
72	4866	128136
73	4939	128230
74	4996	127913
75	5058	127718
76	5119	127521
77	5183	127392
78	5243	127166
79	5307	127057
80	5383	127209
81	5438	126874
82	5504	126798
83	5581	126985
84	5641	126772
85	5698	126503
86	5768	126502
87	5833	126424
88	5895	126263
89	5966	126294
90	6040	126384
91	6101	126213
92	6155	125885
93	6220	125792
94	6290	125817
95	6361	125845
96	6432	125864
97	6497	125782
98	6549	125433
99	6622	125487
100	6684	125346
101	6760	125463
102	6831	125493
103	6903	125529
104	6976	125582
105	7045	125561
106	7111	125490
107	7179	125438
108	7241	125290
109	7302	125135
110	7372	125131
111	7439	125079
112	7501	124942
113	7578	125051
114	7638	124879
115	7705	124811
116	7775	124809
117	7838	124679
118	7908	124676
119	7976	124630
120	8042	124552
121	8111	124538
122	8183	124553
123	8251	124502
124	8325	124543
125	8381	124322
126	8446	124242
127	8507	124088
128	8579	124098
129	8648	124075
130	8721	124103
131	8785	123995
132	8846	123848
133	8915	123816
134	8982	123753
135	9045	123644
136	9109	123545
137	9185	123599
